2000 2500
376 552 9164 
638 1383 3701 
493 1356 3489 
1857 1595 6050 
1110 1012 5097 
1915 709 4642 
1423 1937 8943 
1516 906 1550 
1703 1855 6394 
393 162 466 
1317 1488 7792 
435 1136 3173 
1027 1701 364 
664 1294 2471 
465 1513 7855 
791 399 3904 
1162 48 9912 
601 1496 578 
1190 316 8125 
525 1260 232 
953 1203 7929 
1070 438 4911 
978 1894 6971 
43 1203 537 
1569 1807 3671 
1390 1725 1012 
1735 1653 6799 
1128 1305 1971 
1272 1390 6060 
900 902 9209 
1344 1675 9668 
252 792 7433 
1094 180 5885 
1919 1773 9074 
1517 1378 4851 
581 778 943 
1774 1317 4966 
526 1669 7781 
1408 1875 7505 
1754 1761 1286 
1513 1730 703 
630 1081 9752 
147 1572 5316 
41 824 8804 
1721 686 258 
1604 1442 7070 
1216 237 9022 
178 204 278 
1254 1108 8894 
685 422 3161 
561 987 526 
546 850 884 
953 1622 9246 
1691 1458 6226 
595 555 8669 
1768 992 6306 
1904 1768 6320 
854 1431 8551 
238 302 3495 
1384 388 4540 
1940 432 4050 
1115 1989 1035 
1701 371 7511 
1433 316 3207 
1016 837 3088 
58 1025 3042 
447 1966 5425 
1671 1894 3068 
247 330 9401 
1250 1304 9515 
600 526 6796 
488 473 8748 
721 837 3032 
1637 202 2765 
877 1456 234 
1082 269 2865 
6 1672 4026 
624 758 4450 
1704 1007 7773 
1447 1740 3791 
1091 1494 8064 
1397 837 4907 
143 203 9306 
1624 1177 8361 
914 395 3060 
604 1119 736 
619 634 2664 
1695 1463 4059 
653 962 5436 
285 1604 9881 
1743 41 6210 
350 280 4963 
23 690 2925 
1615 755 212 
1781 6 5890 
1141 415 2406 
978 56 8255 
1269 1351 1958 
731 1246 8187 
561 1721 8811 
1043 139 3696 
1375 1945 2891 
1569 530 446 
574 1240 5099 
17 137 4736 
1997 802 4501 
1187 1739 2445 
1442 1107 1507 
1026 495 1380 
47 556 9496 
1351 1610 5253 
1158 373 5549 
169 971 1209 
1640 958 76 
1423 481 5294 
246 568 7670 
765 835 9132 
1379 1735 9589 
331 1456 6569 
1318 1123 883 
592 266 6322 
834 707 1821 
534 1327 1272 
1105 212 2282 
1967 1401 5574 
1360 971 6423 
860 1606 9951 
1282 1562 9430 
1522 1802 2097 
186 1433 7475 
614 121 4797 
1223 1923 616 
736 1134 3218 
575 289 8848 
213 75 7744 
1469 67 9265 
1102 1096 3129 
1731 813 5263 
743 922 2247 
93 76 9731 
1637 818 4600 
1733 1254 9520 
579 328 2325 
1850 235 4534 
388 221 8015 
504 1908 8974 
379 343 1592 
231 228 7808 
1560 453 4222 
865 1174 7106 
908 175 9798 
39 1085 2732 
1624 444 154 
1119 617 2907 
312 316 1752 
897 522 5561 
998 1819 6409 
763 752 7962 
218 1669 4357 
1646 248 4130 
258 1009 7041 
1381 157 3044 
808 631 5088 
1053 171 4352 
1444 799 8782 
1593 1960 4125 
161 64 2723 
990 1493 9611 
500 605 9285 
1338 937 8489 
676 413 6153 
623 340 8765 
1304 1462 2006 
471 1428 2126 
985 1243 9983 
931 1748 6139 
433 57 5127 
139 1098 7209 
1882 1275 1659 
313 633 5764 
903 646 3274 
572 1432 2479 
858 987 599 
1389 31 5590 
1914 1702 2225 
1433 1937 2454 
804 1353 2649 
1404 62 7253 
1541 945 4619 
736 905 8429 
1731 1667 3570 
119 415 1138 
415 733 5455 
314 1047 57 
962 718 1751 
250 1136 5035 
1859 1435 2186 
1337 1682 1147 
1604 171 74 
1246 722 891 
1329 557 8234 
1051 1601 928 
694 448 6546 
1323 1108 4860 
375 1629 1761 
471 1504 2026 
635 1207 8689 
796 60 6276 
1500 263 4628 
1268 948 8470 
1226 1341 6265 
1282 1173 9858 
1402 1290 3388 
1377 146 4786 
823 1570 347 
488 151 7637 
1713 1573 6544 
446 944 1581 
269 1820 2148 
864 1358 5921 
618 1913 7156 
1282 1518 9838 
225 207 1893 
984 275 6305 
679 484 1395 
1468 671 4787 
1947 1288 3663 
307 11 2184 
522 575 2879 
699 1307 3171 
170 1896 9248 
90 1125 4965 
949 1364 3221 
323 1402 4366 
170 439 9557 
7 201 4919 
1281 1988 7604 
755 1308 8443 
182 1086 6513 
186 303 1098 
1628 491 4954 
1332 554 7885 
567 269 1677 
1596 1785 7058 
1301 101 649 
1988 1551 6492 
504 36 9896 
294 1347 6735 
1315 368 1459 
225 667 2502 
1358 878 5160 
917 1159 5985 
265 1819 4303 
1076 788 5758 
127 1594 7613 
1998 1382 6975 
559 1749 1513 
1790 436 2229 
1171 926 8622 
849 1584 3883 
578 770 2695 
1167 1416 9889 
900 1339 3440 
913 165 4023 
1210 1509 8583 
1768 49 207 
694 1291 9593 
67 4 511 
838 84 2366 
621 1315 1423 
1996 1754 2420 
736 97 9907 
599 1977 3496 
384 602 8489 
1363 1691 8070 
1761 470 6455 
1080 788 2952 
235 3 1445 
844 84 3232 
1696 295 1971 
1466 1660 4756 
1016 1257 2497 
164 1918 1624 
1156 1138 1319 
883 1424 1068 
1231 1036 7924 
144 1286 3901 
254 1270 6657 
1870 1335 939 
857 1875 2643 
570 661 937 
975 621 9920 
1892 1518 6245 
195 1886 8340 
504 338 9021 
657 1746 3058 
1728 510 3788 
162 611 2876 
1131 419 7365 
1034 1683 1282 
614 1614 8137 
1040 744 5752 
816 161 1624 
784 1050 323 
1675 827 7205 
899 1667 4445 
916 1797 426 
932 786 7911 
1096 337 9004 
688 1171 4646 
780 1557 6046 
1963 207 9921 
710 35 1248 
1174 817 539 
338 523 8786 
893 331 6803 
6 195 5463 
752 556 2697 
40 1393 9293 
240 955 4627 
1292 1407 4453 
1853 1962 3555 
59 145 378 
1591 852 8629 
1897 914 6259 
81 385 4125 
133 678 3072 
1135 1536 2331 
1554 933 8215 
1151 601 3730 
1350 320 388 
1859 226 7197 
396 1955 4145 
1005 473 1703 
1732 174 3348 
1289 393 9210 
1914 740 3961 
1278 300 27 
1882 1197 3810 
1613 556 5816 
1740 1278 7467 
88 1653 5655 
1550 1811 1997 
1082 1431 4557 
637 350 3122 
577 1085 3737 
1388 433 4997 
1992 795 6740 
567 1529 2350 
1146 1708 7963 
1967 1686 4020 
1726 279 5180 
929 1132 6659 
417 937 1203 
156 254 2817 
1782 1475 9883 
1660 777 3962 
1770 805 1760 
953 156 4687 
184 77 299 
215 1094 2646 
1999 667 9192 
563 1845 2861 
1202 994 3376 
1380 1934 4685 
158 669 3326 
1785 1077 6483 
107 1313 5828 
1557 1397 306 
437 436 8173 
936 87 9057 
791 1121 6190 
17 975 688 
1517 1644 7986 
194 380 1768 
1638 1620 7374 
1508 1433 8984 
1788 1840 6697 
1297 626 1731 
544 1026 3045 
742 454 6576 
432 463 8391 
160 1039 5604 
725 1250 3190 
1281 432 2856 
242 104 2632 
1569 1319 5351 
71 1004 2140 
1801 181 6550 
1732 320 1982 
1575 1848 2470 
1390 1411 6377 
1775 463 8794 
1090 1215 3279 
1534 28 8936 
628 1865 8783 
1490 1955 6172 
1797 1566 6134 
1803 845 1528 
234 1052 4026 
875 981 1357 
973 1197 417 
1647 1007 3449 
1635 692 8982 
1410 1700 587 
1115 72 2565 
1881 58 3214 
484 1850 5367 
1444 1045 1977 
860 1861 3536 
919 1557 1356 
1841 799 9002 
355 1080 2132 
935 1939 6090 
531 927 8812 
829 1995 7700 
1558 1302 3315 
1455 719 6692 
1750 1282 804 
569 1847 2225 
1774 1600 5559 
759 1024 2725 
1060 819 7822 
8 645 7954 
547 876 6059 
607 868 2052 
1224 1480 7696 
1145 475 1377 
440 377 9260 
530 1891 5474 
1093 965 9574 
1621 431 2502 
82 4 5708 
1694 408 793 
341 1744 1900 
1095 821 3890 
1194 507 40 
641 1370 4268 
1441 952 6083 
784 1223 860 
1264 1856 2649 
406 1481 5296 
699 427 7531 
1889 1017 8198 
1817 159 9951 
886 1793 5089 
1798 1576 7949 
652 576 111 
605 718 7203 
446 1591 4908 
664 1161 3581 
316 1373 1563 
1499 456 9270 
567 1785 6661 
1916 1639 2898 
410 834 3700 
1957 958 9497 
671 276 6889 
963 841 503 
1251 927 3762 
544 1271 1181 
1665 1567 4141 
1738 1483 8738 
1770 1959 690 
1683 1778 4307 
833 1793 5460 
1937 949 2629 
904 425 6747 
908 157 1714 
1952 278 2736 
1112 1286 7906 
1371 1702 3523 
513 1878 9341 
581 759 6030 
512 1321 741 
900 312 7178 
120 1849 167 
1659 915 8458 
1541 311 6017 
410 1490 8554 
68 955 2551 
1143 1164 5077 
346 1831 7983 
313 721 3726 
1840 1268 5743 
1808 499 8630 
974 861 6361 
1614 1066 3740 
164 1020 8008 
1768 802 7176 
1359 846 5719 
695 1136 3919 
1293 204 9398 
433 1901 4351 
1098 619 2877 
875 1040 2861 
1526 452 9697 
586 130 7987 
807 247 7812 
11 637 3578 
278 810 137 
1937 716 213 
1062 244 6506 
1247 1641 5998 
151 807 1558 
1980 1071 8766 
553 356 711 
1888 1510 4977 
593 1474 1915 
888 1270 1172 
1399 640 7845 
1991 1976 6297 
1281 1975 2554 
1362 1463 6106 
869 1637 1386 
273 1211 2496 
1259 1828 1571 
920 1859 3046 
1481 1650 9364 
1404 436 5095 
1594 1042 3686 
705 103 6246 
1199 330 8966 
1675 803 8456 
1016 607 3937 
225 319 5165 
1705 346 5434 
435 108 8879 
1745 222 7604 
1828 10 9910 
387 410 2857 
964 93 2990 
928 639 8177 
1066 1460 445 
23 81 2095 
1003 1975 1530 
994 1875 8507 
416 1325 7377 
1160 539 7117 
2 1289 2507 
772 924 7367 
1692 1481 7442 
1110 60 5690 
1248 1519 9007 
1111 851 1689 
1217 618 8947 
1716 343 4894 
450 1292 3114 
1499 547 1600 
407 630 5940 
653 364 7168 
147 238 8390 
210 191 9992 
17 331 8334 
1313 94 6531 
108 1801 1327 
247 1128 6723 
1923 1144 815 
1705 1247 5198 
1162 536 1583 
788 527 8586 
1736 24 8239 
1202 31 705 
643 661 1035 
537 1076 6517 
71 399 8692 
216 243 1028 
626 672 2750 
868 170 6055 
532 1975 7460 
1218 1010 3930 
844 282 6664 
1045 1172 4918 
575 1206 8714 
1709 1578 6726 
1910 1253 7273 
816 548 9318 
273 1625 4725 
304 1330 3851 
899 1120 6875 
621 289 3251 
1587 1917 8018 
1369 413 2960 
882 1467 8936 
1053 1444 2979 
927 1744 9715 
1873 1556 2318 
346 1487 6729 
1368 1678 1174 
1416 1241 4560 
1627 313 2320 
1240 582 2150 
1543 1010 5056 
830 463 9814 
587 1854 6806 
94 1066 1928 
1216 651 8606 
1881 299 9795 
499 338 125 
534 319 6514 
1605 25 6472 
1177 480 153 
1833 262 8439 
1504 1776 8781 
761 1878 1309 
848 736 778 
537 652 3683 
59 462 5325 
139 138 8488 
1677 118 2822 
488 1243 5574 
1973 1928 7023 
775 1578 2413 
917 185 4922 
980 440 1869 
1891 1418 6102 
1280 486 4760 
419 616 657 
950 1310 882 
12 521 6129 
1991 993 450 
1540 1022 543 
328 1014 6975 
149 1529 8350 
652 1571 5950 
677 587 9190 
1644 42 5501 
886 1998 3741 
1766 971 3356 
245 158 206 
556 1081 9947 
1596 279 8331 
87 1075 6460 
1488 37 6846 
1809 1519 564 
1705 1994 6910 
60 1400 7838 
58 777 6468 
1492 1470 2143 
1283 978 3574 
1478 1228 9365 
1260 1107 1949 
516 371 4581 
1111 588 5128 
232 958 6527 
528 184 9914 
1671 1831 709 
895 1824 287 
149 1603 6713 
1983 1493 8369 
784 908 8909 
974 1911 7738 
390 1192 8855 
808 1408 7828 
70 299 9175 
668 109 9948 
243 960 9425 
555 777 1292 
936 1097 8832 
1845 883 715 
679 1215 9786 
1847 822 3540 
930 1148 2650 
722 1170 2543 
1709 995 5909 
179 219 9074 
975 534 8673 
1075 1472 3102 
413 1959 4266 
1952 1097 3506 
585 1001 8779 
434 1081 7668 
1042 1084 9278 
731 1008 3583 
362 643 4080 
1030 1582 4312 
9 125 8553 
1523 1539 6766 
1967 1781 2003 
1787 398 5804 
1011 735 1218 
1194 1898 319 
1112 1799 4602 
923 1972 3311 
524 1965 2144 
661 67 1416 
1416 222 8653 
1457 434 6417 
936 1376 9686 
203 570 4396 
133 1675 691 
1663 1862 6880 
450 862 8189 
1642 736 7890 
346 647 8996 
720 1729 7308 
1388 228 3098 
1903 1904 8525 
1137 809 603 
937 455 2148 
561 1851 9012 
1166 1075 9711 
132 701 5156 
835 196 5364 
730 255 8567 
783 1766 4773 
1791 665 4007 
591 1281 5373 
1017 805 1721 
1161 729 8590 
860 1428 5809 
631 710 9233 
345 141 9988 
283 713 3729 
688 655 7554 
235 438 9978 
1936 851 3685 
1 1257 3951 
152 1454 621 
33 38 5309 
1024 1315 4856 
1182 1344 3154 
1737 1989 9341 
851 1435 3332 
1020 499 6716 
557 1091 6131 
1401 1952 5810 
80 1426 6770 
817 437 9095 
293 844 5749 
1184 756 6836 
1977 1381 4410 
872 766 8461 
1425 1100 16 
965 1426 9632 
743 1402 9794 
1802 869 7667 
663 1511 8709 
1069 1835 4227 
608 1971 9694 
1292 1299 4766 
1117 196 7814 
1114 1262 1260 
540 1124 143 
1604 866 2065 
385 609 8542 
500 222 6128 
593 1175 2596 
1500 64 1582 
1258 1866 5724 
1667 490 4700 
305 171 4627 
1690 844 8821 
1672 303 3937 
1802 644 651 
1667 1859 3629 
919 1270 6332 
119 1888 7879 
1953 1674 6169 
1036 1533 2433 
1172 1827 1177 
1356 669 6626 
592 1314 8942 
46 919 4976 
576 410 5484 
1459 1506 6573 
1035 1488 9899 
978 1916 1402 
1372 828 6062 
1913 511 4103 
812 453 1399 
76 1424 7582 
943 1343 3536 
607 1114 1442 
683 1427 835 
1765 1201 842 
1279 1185 5825 
1388 1186 8673 
865 1808 8935 
1937 1869 5258 
439 264 6614 
1290 1096 8950 
46 654 9644 
802 179 8396 
901 1178 8992 
877 1835 7252 
1110 1674 258 
601 669 2268 
702 1272 4348 
656 855 7242 
51 1584 130 
163 1901 1497 
346 886 9519 
1086 651 8813 
1729 1125 9385 
18 1634 951 
901 1207 9496 
439 399 796 
689 1045 7905 
849 916 1304 
155 1476 6429 
324 788 6704 
677 44 7590 
333 304 1865 
44 496 2329 
207 287 2774 
1546 661 6691 
1392 1532 3785 
1027 1407 5332 
1784 1886 5309 
176 1636 11 
1172 484 3698 
1786 933 3010 
1470 596 974 
304 222 7699 
1119 419 2577 
1643 738 925 
731 1726 1447 
1676 1496 7037 
600 733 202 
416 552 8136 
1719 718 5422 
155 1846 9926 
1687 103 5510 
1738 345 4770 
956 7 245 
1491 1195 302 
687 802 5254 
409 1266 2299 
424 252 6627 
198 832 3553 
1904 553 2694 
968 62 539 
1680 987 980 
400 819 3540 
1959 624 3035 
612 1992 9768 
1579 1800 2662 
819 601 5157 
710 829 5759 
52 1237 2917 
1739 225 8926 
1431 1779 105 
1106 1844 1405 
707 1344 9617 
1195 909 4168 
975 724 3542 
952 1352 2482 
1156 235 6817 
1376 1636 7924 
1618 1475 3378 
1297 25 9806 
468 1196 6339 
1344 717 1796 
517 528 1097 
917 1488 1539 
1573 215 9064 
880 1655 7739 
1234 1114 9991 
1995 1484 5541 
103 1875 452 
1986 1862 6860 
1847 1050 2152 
1125 1632 1442 
225 1105 1883 
1250 1550 9585 
421 543 8947 
785 1734 7951 
221 682 4292 
593 1216 5040 
1611 86 6021 
231 1975 6414 
1068 932 1694 
521 1315 8761 
1638 216 2500 
781 1827 3893 
436 1026 4587 
810 1375 8945 
995 1371 1328 
443 980 3122 
1624 442 453 
1064 754 3017 
754 655 9656 
1873 98 6063 
1875 1747 753 
1675 254 3929 
1339 1292 4726 
1176 1989 144 
320 1902 7106 
239 1119 9896 
675 1442 5318 
977 699 9141 
1342 1290 830 
652 574 5016 
332 1680 1484 
1097 400 5869 
818 448 9546 
1019 1103 1551 
1773 1931 7318 
547 603 2867 
941 899 9604 
312 1321 8384 
1574 210 7170 
1728 36 3586 
1967 1261 2687 
1674 149 821 
878 1518 566 
1359 1261 6542 
1281 345 4421 
210 951 7714 
1683 1677 6494 
1428 415 7845 
837 1299 1550 
1232 540 3597 
756 255 367 
1395 1036 7385 
539 1606 9262 
1761 1335 364 
820 747 831 
608 1608 3216 
928 39 3293 
1837 1436 2423 
1950 61 1384 
94 172 5083 
684 1663 6010 
1753 1210 2999 
1762 1803 6433 
858 1473 1967 
1473 1409 9145 
1698 713 9098 
622 722 3387 
514 1719 941 
1739 732 5413 
441 843 5886 
1152 642 408 
714 690 1234 
1631 1865 7041 
1605 1353 7906 
862 479 9268
